ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard,dates
224,55,25,41,95014,3,1.0,3,0,0,0,0,1,0,2023-06-30 11:52:12
778,55,31,12,95060,2,0.2,1,76,0,0,0,1,1,2023-08-28 09:14:11
3164,51,27,52,94132,2,1.0,3,0,0,0,0,0,0,2023-04-16 22:05:21
1365,44,19,69,92129,4,0.4,1,0,0,0,0,0,0,2023-10-15 23:03:41
3893,59,33,102,91763,2,1.4,1,0,0,0,0,1,0,2023-01-02 16:28:25
837,42,17,74,92123,3,3.0,1,0,0,0,0,0,1,2023-05-16 08:00:05
4903,33,8,58,90505,2,2.5,1,0,0,0,0,1,0,2023-03-09 07:40:38
2225,38,12,29,92084,2,1.4,3,0,0,0,0,1,0,2023-11-23 23:05:07
1103,29,3,84,95023,1,2.9,3,0,0,0,0,1,0,2023-07-19 22:17:04
16,60,30,22,95054,1,1.5,3,0,0,0,0,1,1,2023-07-17 22:19:27
288,37,12,62,92110,3,0.7,2,0,0,0,0,0,1,2023-07-04 01:30:44
2931,41,17,78,95929,4,2.67,1,99,0,0,0,1,0,2023-08-19 17:25:49
4574,46,20,73,95616,2,0.8,3,264,0,0,1,1,1,2023-08-04 08:25:20
3775,51,26,52,92521,4,1.8,3,0,0,0,0,1,0,2023-05-25 22:17:54
2974,47,22,82,92084,1,2.9,1,276,0,0,0,1,0,2023-04-14 06:58:47
3843,61,35,91,95136,2,2.0,1,0,0,0,0,1,0,2023-11-22 08:13:55
1960,50,24,130,95833,1,1.0,1,0,0,0,0,0,0,2023-08-27 09:55:35
2179,37,13,158,93943,2,2.3,2,0,1,0,1,1,1,2023-06-01 11:34:58
822,39,13,33,92093,4,1.5,3,0,0,0,0,0,0,2023-08-07 04:59:01
3568,51,26,43,91040,1,1.3,2,123,0,0,0,1,0,2023-03-05 15:15:13
889,57,33,182,94114,2,3.3,3,372,1,0,0,0,0,2023-12-24 00:07:38
2764,55,31,13,93943,4,0.7,1,0,0,0,0,1,0,2023-03-10 06:47:00
2482,55,30,64,94306,2,1.9,2,0,0,0,0,0,0,2023-02-07 16:00:57
1233,43,19,84,92646,4,0.2,3,297,0,0,0,1,0,2023-02-23 07:28:48
928,65,40,95,95014,3,3.7,2,138,1,0,0,0,1,2023-10-20 03:16:08
534,27,2,101,92807,1,1.9,1,0,0,0,0,0,0,2023-11-09 15:47:49
4646,34,10,45,92038,1,1.7,1,84,0,0,0,0,0,2023-07-27 03:44:36
3092,58,32,42,95020,3,1.4,3,158,0,0,0,0,1,2023-04-09 20:22:35
4080,65,40,75,90036,3,2.2,1,0,0,0,0,1,0,2023-12-23 02:58:05
3941,41,17,53,93727,2,2.5,1,102,0,0,0,1,0,2023-04-10 12:25:40
1612,58,32,75,92096,2,2.3,3,0,0,0,0,0,0,2023-08-11 18:00:38
3377,46,21,170,95136,2,2.8,1,0,0,0,0,0,0,2023-04-07 17:15:53
2081,65,40,69,91706,4,0.1,2,0,0,0,0,1,0,2023-10-03 03:10:48
51,32,8,8,92093,4,0.7,2,0,0,1,0,1,0,2023-11-19 06:24:32
2521,56,29,45,90095,4,2.5,2,113,0,0,0,1,0,2023-05-19 23:21:47
906,46,22,28,94720,1,1.0,1,84,0,0,0,1,1,2023-04-16 12:14:46
406,36,11,133,90245,1,3.8,1,290,0,1,1,1,1,2023-12-25 19:41:53
3949,37,12,123,94304,4,3.1,2,253,1,0,1,1,1,2023-08-09 13:17:06
3905,29,5,18,94122,1,0.4,3,94,0,0,0,1,1,2023-05-23 08:51:54
2782,47,21,22,92037,1,0.2,1,104,0,0,0,0,0,2023-11-11 20:48:24
912,47,21,68,94538,4,2.6,3,0,0,0,0,0,0,2023-05-21 03:14:07
1901,61,36,10,91365,4,0.4,2,0,0,0,0,1,0,2023-01-30 07:09:22
469,34,10,21,92634,1,0.5,3,0,0,0,0,1,0,2023-03-17 03:37:14
4038,52,28,72,91335,1,0.0,1,178,0,0,0,0,0,2023-08-22 21:45:01
4141,63,38,32,94015,1,1.5,2,0,0,0,0,0,0,2023-01-30 07:40:48
2422,43,19,40,94949,3,0.6,2,0,0,0,0,1,0,2023-05-23 06:46:26
4041,57,32,44,90266,2,1.9,2,157,0,0,0,0,0,2023-10-17 17:20:30
4486,35,9,50,92182,4,2.2,2,0,0,0,0,0,0,2023-02-02 13:23:21
4159,59,34,74,92780,4,0.7,1,0,0,0,0,1,1,2023-01-03 14:06:09
2619,23,-3,55,92704,3,2.4,2,145,0,0,0,1,0,2023-05-06 04:53:36
4281,42,18,135,95136,2,3.3,1,0,0,1,1,1,1,2023-04-18 23:06:39
3973,29,5,112,94998,2,4.33,1,0,0,0,0,1,1,2023-12-27 21:19:29
4864,61,35,25,91768,1,0.8,2,142,0,0,0,1,0,2023-02-12 00:11:42
4161,30,4,11,95054,1,0.1,2,0,0,0,0,1,1,2023-01-28 14:28:09
975,63,38,54,90401,3,2.2,1,0,0,0,0,1,0,2023-06-14 16:55:39
692,45,18,48,90025,3,2.5,2,113,0,0,0,1,1,2023-04-11 05:16:10
4056,42,18,65,93460,3,2.1,3,0,0,0,0,1,1,2023-08-08 05:08:14
2297,27,3,82,94305,2,0.2,1,0,0,0,0,0,1,2023-11-09 01:42:29
4789,36,10,39,92009,1,2.0,1,153,0,0,0,0,0,2023-07-29 06:09:16
1738,44,19,70,92399,1,0.2,2,230,0,1,0,0,0,2023-06-07 02:31:42
2791,47,22,44,95821,1,1.4,3,0,0,0,0,1,1,2023-03-21 18:52:12
1344,41,17,48,92831,2,0.6,3,215,0,0,0,0,1,2023-08-20 05:21:11
2129,65,40,40,94104,1,1.1,3,0,0,0,0,0,0,2023-06-09 06:39:19
1671,38,14,25,95135,4,0.4,2,101,0,0,0,1,0,2023-03-03 16:00:01
4345,53,28,181,95051,1,8.1,1,0,0,0,0,1,0,2023-01-18 11:25:04
1123,32,7,38,90041,1,1.0,1,0,0,0,0,1,0,2023-03-14 15:40:19
3127,57,32,74,92780,4,0.7,1,0,0,0,0,0,1,2023-11-27 20:44:42
1241,52,27,15,91320,4,0.8,1,101,0,0,0,0,0,2023-08-08 09:39:10
2636,40,14,33,95616,2,0.8,3,89,0,0,0,1,0,2023-03-05 14:48:39
2287,62,36,42,94122,1,0.5,3,128,0,0,0,1,0,2023-10-18 08:35:40
2863,65,39,113,92096,4,2.4,3,0,0,0,0,1,0,2023-09-27 12:26:02
3489,40,15,51,94117,2,1.1,2,131,0,0,0,1,0,2023-09-13 10:16:15
3980,38,14,90,93010,2,0.0,1,258,0,1,1,1,1,2023-04-20 05:25:18
347,44,19,50,90745,3,2.7,2,0,0,0,0,1,0,2023-02-26 00:07:50
2572,34,8,40,91768,2,2.0,3,89,0,0,0,0,0,2023-05-22 07:17:41
2703,42,18,144,94063,2,6.1,1,158,0,0,0,0,0,2023-08-09 03:47:02
2042,45,20,180,95403,3,8.5,2,535,1,0,0,0,0,2023-12-27 16:16:07
1037,53,28,55,94720,4,0.9,1,119,0,0,0,1,1,2023-01-31 06:20:57
2233,59,33,140,95035,2,0.5,1,262,0,0,0,1,0,2023-12-20 16:27:57
893,38,12,53,95616,2,2.4,2,0,0,0,0,1,0,2023-08-20 06:51:42
4068,52,28,21,94025,4,0.5,2,0,0,0,0,1,0,2023-03-07 10:01:11
3161,41,15,158,94304,1,4.7,2,0,1,1,1,0,1,2023-01-23 22:28:05
1670,43,18,21,95037,2,1.4,2,0,0,0,0,1,1,2023-02-13 04:11:44
4241,39,14,161,95064,1,4.1,1,509,0,1,0,0,0,2023-07-20 17:35:08
2439,62,37,29,91030,1,0.3,3,0,0,0,0,0,1,2023-01-23 05:13:20
123,58,32,73,94523,2,0.7,2,0,0,0,0,1,1,2023-04-23 01:41:14
4886,54,30,28,92103,2,0.8,1,0,0,0,0,1,0,2023-07-03 03:03:21
4721,41,15,88,90740,1,2.8,3,0,0,1,0,0,0,2023-03-17 03:43:22
3985,34,8,18,95741,4,0.3,1,0,0,0,0,0,0,2023-02-02 15:30:37
1362,50,26,38,95039,4,0.9,2,0,0,0,0,1,0,2023-12-12 11:45:25
878,35,11,59,95123,4,0.1,2,0,0,0,0,0,0,2023-06-13 17:55:26
3898,56,31,64,90245,2,2.3,3,0,0,0,0,0,0,2023-11-16 04:07:31
4723,40,16,63,92807,1,1.5,3,0,0,0,0,0,0,2023-01-03 05:13:14
1652,62,36,158,94301,2,6.3,3,0,1,0,0,1,0,2023-12-02 14:41:40
4400,48,23,21,94904,1,0.1,1,0,0,0,0,0,0,2023-02-22 23:23:31
3552,60,35,55,92807,3,0.5,2,172,0,0,0,0,0,2023-10-11 15:36:10
1031,61,35,112,90024,4,1.7,3,0,0,0,0,0,1,2023-01-19 17:29:54
2475,64,38,40,92122,2,1.0,3,0,0,0,0,0,0,2023-06-08 14:06:06
1855,52,25,41,95403,3,1.0,2,0,0,0,0,1,0,2023-11-07 16:41:38
4846,45,21,128,94305,1,4.7,1,0,0,0,0,0,0,2023-05-16 10:02:03
1825,49,23,194,94022,4,8.3,2,0,1,0,0,0,1,2023-03-08 14:42:00
2921,60,35,44,94720,2,1.6,3,170,0,0,0,1,0,2023-09-21 03:05:17
2861,27,2,20,95064,4,0.5,3,0,0,0,0,1,0,2023-06-18 18:07:44
1487,35,9,141,93022,2,4.5,2,0,1,0,0,0,0,2023-01-09 20:12:04
4625,36,11,83,90638,1,2.8,1,0,0,0,0,0,0,2023-08-28 07:42:44
1506,51,25,18,92109,1,0.3,3,93,0,0,0,0,1,2023-06-21 02:16:46
4489,30,4,50,91030,1,1.5,1,0,0,0,0,0,0,2023-02-05 07:26:25
1651,31,6,83,92131,4,2.2,2,106,0,0,0,1,0,2023-09-15 01:09:39
386,35,9,40,93943,3,0.9,1,0,0,0,0,1,0,2023-11-28 11:47:54
315,63,37,45,93437,2,0.7,3,0,0,0,0,1,0,2023-03-29 03:53:28
4958,29,-1,50,95842,2,1.75,3,0,0,0,0,0,1,2023-06-22 11:00:03
405,61,36,60,92866,3,0.5,2,182,0,0,0,0,0,2023-10-16 13:22:49
68,53,23,45,95123,4,2.0,3,132,0,1,0,0,0,2023-04-28 05:35:04
2884,40,14,92,90024,4,1.4,2,0,0,0,0,1,0,2023-08-29 14:57:39
2919,28,3,142,93727,1,0.8,1,0,0,0,0,1,0,2023-11-25 09:34:41
4127,58,33,23,90095,3,1.3,2,131,0,0,0,0,0,2023-05-01 20:55:50
2258,47,23,130,91763,2,1.4,1,0,0,0,0,0,0,2023-12-16 03:47:54
729,45,20,114,94720,2,4.4,2,0,1,0,0,0,0,2023-03-24 22:24:06
289,44,19,172,94306,2,4.3,3,391,1,1,1,1,0,2023-01-19 09:35:43
2045,51,25,102,92677,1,0.3,1,0,0,0,0,1,0,2023-12-08 01:11:41
4832,30,6,42,91711,1,2.1,3,144,0,0,0,0,1,2023-10-27 19:36:05
1346,57,32,23,92126,2,0.2,3,0,0,0,0,0,0,2023-08-18 16:03:53
3607,43,18,9,96145,2,0.0,3,96,0,0,0,1,1,2023-07-27 00:01:04
1747,62,36,25,90740,3,0.3,3,0,0,0,0,1,1,2023-06-06 14:38:12
1776,46,22,73,91360,1,0.8,3,117,0,0,0,0,0,2023-12-01 01:03:59
900,30,3,172,91302,3,3.4,2,0,1,0,0,0,1,2023-06-13 17:38:19
2909,57,32,22,95616,3,0.1,2,0,0,0,0,1,0,2023-03-03 18:53:18
3169,51,25,180,94701,1,1.7,1,0,0,0,0,1,0,2023-03-08 12:49:46
4827,56,31,81,93943,2,0.0,3,225,0,0,0,0,0,2023-08-09 05:52:50
1149,41,15,108,90034,1,5.2,1,0,0,0,0,0,0,2023-11-10 23:23:26
4163,61,37,41,94704,1,0.8,1,0,0,0,0,1,1,2023-10-28 21:01:09
2618,44,20,65,92037,2,2.5,1,0,0,0,0,1,0,2023-04-26 14:24:17
1163,38,14,112,94501,2,2.2,1,394,0,0,0,0,0,2023-12-07 19:18:46
2030,30,3,61,92152,4,2.0,2,0,0,0,0,1,0,2023-07-17 09:07:16
2459,46,20,72,93108,2,0.8,3,0,0,0,0,1,1,2023-11-17 09:52:50
2241,41,17,81,92868,4,0.2,3,167,0,1,0,0,0,2023-02-13 18:33:43
2349,51,25,85,94015,4,4.9,1,0,0,0,0,1,1,2023-09-03 17:38:10
2061,54,29,34,92093,4,0.1,3,0,0,0,0,1,1,2023-06-09 22:35:37
2941,27,3,43,90245,3,0.1,2,163,0,0,0,1,0,2023-03-18 02:04:15
62,47,21,125,93407,1,5.7,1,112,0,1,0,0,0,2023-08-09 14:08:00
1104,38,14,49,90037,1,1.8,1,0,0,0,0,0,0,2023-06-24 18:33:32
3625,58,28,70,92028,1,1.4,3,0,0,0,0,0,0,2023-03-22 19:09:04
3321,50,25,114,92104,1,0.6,1,0,0,0,0,0,1,2023-06-10 03:39:51
4578,63,37,80,90401,2,1.7,3,0,0,0,0,1,1,2023-08-19 07:54:45
3981,46,22,89,92866,4,1.4,2,0,0,0,0,1,0,2023-09-19 13:59:07
2614,52,26,110,94501,2,5.4,3,204,1,1,1,1,0,2023-04-08 04:56:27
1777,50,26,42,94080,4,1.1,2,151,0,0,0,1,0,2023-09-10 19:23:19
4160,45,20,70,94305,4,1.9,3,0,0,0,0,1,1,2023-04-29 12:06:40
2613,50,26,40,95138,4,1.1,2,131,0,0,0,0,0,2023-08-16 16:33:52
812,63,33,52,94720,4,1.67,3,0,0,0,0,0,0,2023-01-20 18:02:11
1256,27,1,80,95354,2,1.6,3,185,0,0,0,1,1,2023-01-03 22:30:38
3278,43,19,81,92121,2,3.2,1,0,0,0,0,1,0,2023-09-28 12:05:53
1623,39,14,24,94611,2,0.3,2,0,0,0,0,1,0,2023-04-27 23:48:02
487,55,30,84,92173,2,3.7,1,304,0,1,0,1,0,2023-03-25 05:14:37
2837,25,1,74,94085,4,2.6,1,204,0,0,0,0,0,2023-04-16 19:23:59
2557,28,4,82,92831,3,1.5,1,103,0,0,0,1,0,2023-05-07 12:46:00
1537,36,12,73,95617,4,2.0,3,188,0,0,0,1,0,2023-03-15 17:26:24
3224,43,18,29,95126,1,0.5,3,0,0,0,0,1,0,2023-12-20 10:06:39
3845,51,27,75,95828,1,2.7,1,0,0,0,0,0,0,2023-12-07 23:38:00
4711,41,17,71,92182,3,0.3,3,0,0,0,0,0,1,2023-02-18 23:57:19
4948,39,13,41,95064,2,0.3,1,108,0,0,0,1,1,2023-08-08 00:23:36
1542,61,35,154,92704,2,6.9,1,0,0,0,0,0,0,2023-02-17 13:40:58
3852,46,21,99,90277,2,3.8,3,194,0,0,0,1,0,2023-10-01 15:14:23
382,55,29,73,95616,2,2.3,3,0,0,0,0,1,1,2023-11-04 23:20:46
2882,49,25,55,92103,4,0.1,3,0,0,0,0,1,0,2023-03-26 12:20:46
3530,33,7,25,94132,4,1.0,1,0,0,0,0,1,1,2023-04-03 06:10:54
3247,41,17,81,95422,1,0.8,2,223,0,0,0,1,0,2023-12-08 06:15:36
2515,41,16,25,92182,2,0.1,2,91,0,1,0,0,0,2023-04-26 17:51:38
4055,59,34,64,94116,4,1.7,1,0,0,0,0,0,0,2023-06-21 02:38:35
4231,62,36,115,92093,2,2.8,1,202,0,0,0,1,1,2023-11-28 08:53:02
2153,62,38,30,94304,3,0.1,3,128,0,0,0,1,0,2023-02-01 10:09:36
3752,26,2,12,94591,4,1.0,1,0,0,0,0,1,0,2023-09-16 17:09:50
521,61,37,54,90024,4,1.2,2,129,0,0,0,1,1,2023-02-08 15:07:54
4289,42,17,28,94010,1,0.6,3,0,0,0,0,0,1,2023-04-01 12:20:44
2801,52,26,28,93907,2,0.7,2,90,0,0,0,1,1,2023-03-31 12:31:46
3450,57,32,135,90095,3,4.8,2,0,1,1,1,1,0,2023-05-25 09:22:46
4644,33,7,35,95616,4,0.8,1,0,0,0,0,1,0,2023-03-17 04:18:55
2847,67,43,105,93711,4,1.7,2,0,0,0,0,1,0,2023-03-04 19:58:54
3128,40,14,61,94539,4,0.2,3,0,0,0,0,1,0,2023-02-27 15:48:04
2943,29,5,160,90405,1,4.3,1,385,0,0,0,1,0,2023-12-02 21:40:27
3323,41,16,104,92008,1,4.0,3,0,0,0,1,1,1,2023-05-18 00:44:49
1307,34,9,31,94115,4,1.1,3,0,0,0,0,1,1,2023-07-02 17:43:49
4321,40,15,143,94801,1,4.1,1,0,0,0,0,1,0,2023-05-07 03:55:53
4338,26,2,182,93010,2,3.2,2,0,1,0,0,0,0,2023-11-06 02:17:23
3802,34,8,20,95616,2,0.3,1,106,0,0,0,1,1,2023-08-10 05:04:08
4665,62,37,83,93657,4,0.1,2,0,0,0,0,0,0,2023-09-07 03:42:56
1524,41,16,104,92037,1,1.0,3,0,0,0,0,1,0,2023-03-23 18:29:04
1862,62,38,161,90274,1,2.9,1,0,0,1,1,1,1,2023-01-12 18:08:07
3755,63,37,112,93106,4,2.4,3,0,0,0,0,1,1,2023-08-24 06:54:51
4652,48,24,58,94005,2,1.7,1,0,0,0,0,0,0,2023-11-15 04:24:03
443,58,28,122,95136,1,3.0,3,115,1,0,0,1,0,2023-04-18 00:09:18
3228,31,7,18,94720,1,0.4,3,0,0,0,0,1,0,2023-11-03 12:49:40
4898,43,18,44,91345,1,2.4,1,0,0,0,0,0,0,2023-08-22 08:29:57
585,40,16,114,91604,1,3.4,1,300,0,0,0,1,0,2023-09-22 11:41:02
3809,34,10,152,90089,2,6.5,1,0,0,0,0,0,0,2023-08-07 14:12:38
1305,51,26,145,90025,1,8.1,1,397,0,0,0,0,1,2023-08-13 14:38:01
1897,32,7,83,94304,1,2.6,2,0,0,1,0,0,1,2023-09-06 13:09:17
3696,61,35,60,90272,1,2.8,2,0,0,0,0,1,0,2023-07-07 23:57:43
4087,50,26,11,93106,4,0.2,1,0,0,1,0,0,0,2023-08-20 08:52:03
1386,57,31,82,95032,2,2.0,1,83,0,0,0,0,1,2023-12-14 14:04:08
3903,45,21,39,93305,2,2.1,3,0,0,0,0,0,1,2023-09-10 12:24:47
4348,58,33,22,90024,3,0.2,1,0,0,0,0,1,0,2023-01-18 14:53:41
3123,38,14,54,90095,2,0.6,3,218,0,0,0,0,0,2023-08-18 01:07:08
1215,61,36,15,92521,4,0.4,2,0,0,0,0,0,0,2023-05-09 20:29:56
3260,33,8,54,92251,3,2.3,1,0,0,0,0,0,1,2023-09-28 04:33:19
410,49,22,82,90019,1,2.67,2,125,0,0,0,1,0,2023-08-17 07:10:21
1195,29,3,41,94305,4,1.3,3,0,0,0,0,1,0,2023-06-10 11:25:32
2890,53,29,33,94591,3,1.9,2,144,0,0,0,0,0,2023-04-26 02:09:04
505,40,10,44,94720,3,2.0,3,0,0,0,0,1,0,2023-10-31 03:11:00
2470,43,18,89,92780,1,0.1,2,307,0,0,0,0,1,2023-11-22 23:27:47
4530,27,0,40,92103,4,1.0,3,0,0,0,0,0,0,2023-07-03 10:35:52
1330,28,4,32,90095,3,1.0,2,0,0,0,0,0,0,2023-06-11 14:53:47
1569,59,33,72,92350,2,0.7,2,226,0,0,0,0,0,2023-11-24 07:12:22
1147,31,7,71,90034,1,0.1,1,78,0,1,0,0,0,2023-07-28 16:38:31
2908,45,20,40,91763,2,1.3,1,0,0,0,0,0,1,2023-03-08 16:07:35
3328,42,18,164,93407,1,1.3,3,0,1,1,1,1,1,2023-08-13 16:24:03
4780,39,14,20,90747,1,0.6,3,0,0,0,0,1,0,2023-12-30 10:27:27
1706,48,24,79,90245,4,1.4,2,0,0,1,0,0,1,2023-02-25 06:48:13
3520,31,5,84,94720,4,1.8,2,0,0,1,0,1,0,2023-01-26 06:17:54
1173,49,24,45,92104,3,1.7,2,0,0,1,0,1,0,2023-09-10 17:38:24
2658,31,6,72,94583,1,2.6,2,0,0,0,0,1,0,2023-08-09 17:50:27
3156,55,29,62,92626,3,0.3,2,0,0,0,0,1,0,2023-09-26 12:11:07
1356,61,37,48,91910,1,0.8,1,158,0,0,0,1,0,2023-09-23 14:06:10
2490,29,3,41,92626,4,0.2,1,0,0,0,0,1,0,2023-07-30 22:52:56
2558,36,11,23,94553,4,0.2,3,0,0,0,0,1,0,2023-09-08 10:53:15
4232,56,32,60,93106,1,1.8,3,227,0,0,0,1,0,2023-09-19 10:58:07
318,40,16,119,91335,2,4.2,2,0,1,0,0,1,0,2023-06-26 08:10:49
2964,29,3,41,94588,1,1.9,3,0,0,0,0,1,1,2023-11-30 21:39:31
506,36,12,69,94305,3,3.1,2,0,1,0,0,1,0,2023-01-30 22:27:43
2810,42,16,185,94705,3,2.2,2,0,1,1,1,1,1,2023-01-22 13:40:09
32,40,16,29,94117,1,2.0,2,0,0,0,0,1,0,2023-12-01 06:29:47
691,59,34,52,94115,2,1.6,3,75,0,0,0,1,0,2023-03-27 13:59:23
1594,63,38,83,91320,3,1.8,2,0,0,0,0,1,0,2023-11-28 07:15:43
3731,30,6,112,92093,3,2.5,1,0,0,0,0,1,0,2023-02-11 03:19:38
864,54,30,70,90095,1,1.6,3,265,0,0,0,0,0,2023-12-09 03:29:59
462,55,30,81,92123,2,3.7,1,0,0,1,0,0,0,2023-01-14 18:50:39
4747,31,7,18,95616,1,0.4,3,0,0,0,0,1,0,2023-01-17 10:10:38
3661,38,12,59,93401,2,2.4,2,0,0,0,0,0,0,2023-07-06 08:22:30
3457,46,22,125,94536,2,4.7,3,0,1,0,0,1,0,2023-11-26 19:03:04
3977,60,33,42,90277,4,2.5,2,194,0,0,0,1,0,2023-01-10 12:13:32
259,35,9,24,95747,4,0.3,1,0,0,0,0,1,0,2023-01-06 03:25:49
4601,54,24,75,93555,1,1.4,3,0,0,0,0,0,0,2023-07-25 08:52:20
3870,43,16,78,95670,3,2.67,2,161,0,0,0,1,1,2023-01-20 18:58:06
3677,62,37,22,95818,1,1.5,2,111,0,0,0,1,0,2023-09-07 01:04:39
4918,36,10,33,95616,4,1.2,2,82,0,1,0,1,0,2023-08-23 17:00:54
764,54,28,65,94122,1,0.2,1,0,0,0,0,0,1,2023-08-13 12:05:15
3143,34,8,175,95051,4,1.1,3,0,1,1,1,1,1,2023-11-05 11:36:49
416,35,8,38,93106,4,1.0,2,124,0,0,0,1,0,2023-10-07 08:20:10
432,39,13,75,94305,3,2.1,1,224,0,0,0,1,0,2023-01-10 06:39:45
3551,40,10,19,94609,1,0.75,3,116,0,0,0,0,0,2023-08-03 00:43:54
1060,28,2,11,91203,1,0.1,2,0,0,0,0,1,1,2023-10-06 16:14:56
3580,28,2,84,94305,1,2.9,3,102,0,1,1,0,1,2023-04-20 20:54:16
1390,45,15,20,94107,1,0.75,3,0,0,0,0,1,0,2023-10-29 12:23:07
4067,61,37,61,94122,3,2.0,3,0,0,0,0,1,0,2023-01-19 23:57:07
3596,38,14,104,90025,2,1.8,2,79,0,0,0,0,0,2023-04-28 09:13:19
4599,51,26,21,94143,4,0.8,1,0,0,0,0,1,0,2023-07-31 22:15:09
1614,60,34,52,94305,4,1.7,2,0,0,1,0,1,0,2023-10-28 19:19:52
176,45,20,85,91711,4,1.1,2,0,0,1,0,1,0,2023-08-05 08:09:32
1729,52,26,28,95405,1,0.3,3,0,0,0,0,1,0,2023-11-22 20:53:45
4247,60,35,24,94920,1,1.5,2,0,0,0,0,0,0,2023-07-06 06:41:25
251,30,6,29,94305,3,1.0,2,117,0,0,0,0,0,2023-09-24 01:57:08
1225,59,35,45,94920,1,1.8,3,0,0,0,0,1,0,2023-11-18 13:31:34
3591,32,7,64,92630,2,0.1,1,0,0,0,0,1,1,2023-06-15 11:11:08
1299,38,14,74,90274,1,3.6,2,0,0,0,0,1,1,2023-04-03 03:39:53
3085,26,0,129,90028,3,0.7,2,0,1,0,0,0,0,2023-07-28 13:01:48
3519,60,36,129,95039,2,6.0,1,0,0,0,0,0,0,2023-04-25 09:31:37
761,29,3,52,92122,3,1.1,2,0,0,0,0,1,0,2023-06-29 09:10:31
885,38,13,55,91709,2,1.1,2,0,0,0,0,1,0,2023-06-11 00:33:42
1619,29,3,29,94720,3,1.0,1,0,0,0,0,1,1,2023-04-08 11:58:22
395,33,9,80,91311,4,3.4,1,0,0,0,0,1,1,2023-08-02 10:33:11
787,45,21,42,94305,2,2.5,1,0,0,1,0,1,0,2023-01-29 03:36:01
4459,48,22,90,94590,2,0.8,3,205,0,0,0,0,0,2023-12-14 06:33:37
4579,45,20,90,94143,4,1.1,2,0,0,0,0,1,1,2023-03-26 22:07:52
683,58,34,12,90504,1,0.1,2,0,0,0,0,0,1,2023-06-08 23:25:11
4352,30,3,32,94132,1,2.0,2,0,0,0,0,1,1,2023-03-06 07:00:26
57,55,30,29,94005,3,0.1,2,0,0,1,1,1,0,2023-07-21 20:56:04
